voucher	loc	loc	UF	lat	lon	north_pop	south_pop	cerrado_pop
AF1103	10.00	Babaçulândia	TO	-7.20752	-47.76	0	0.00	1
CFBHT11054	55.00	Contendas do Sincorá	BA	-13.94299	-41.04	0	1.00	0
CFBHT13461	43.00	Acajutiba	BA	-11.57242	-38.06	0.28	0.72	0
CFBHT13462	43.00	Acajutiba	BA	-11.57242	-38.06	0.29	0.71	0
CFBHT13597	56.00	Jequié	BA	-13.94292	-40.11	0	1.00	0
CFBHT13620	55.00	Contendas do Sincorá	BA	-13.94299	-41.04	0	1.00	0
CFBHT15872	56.00	Jequié	BA	-13.94292	-40.11	0	1.00	0
CFBHT16668	57.00	Manoel Vitorino	BA	-13.85106	-40.79	0	1.00	0
CFBHT2164	12.00	Aguiarnópolis	TO	-6.55825	-47.47	0	0.00	1
CFBHT4095	36.00	Itabaiana	SE	-10.68588	-37.42	0.59	0.41	0
CFBHT5342	25.00	Viçosa do Ceará	CE	-3.56616	-41.09	1	0.00	0
CFBHT7816	13.00	Campo Alegre	AL	-9.79877	-36.41	0.9	0.10	0
CFBHT9394	38.00	Maracás	BA	-13.44264	-40.43	0	1.00	0
CGERV080	17.00	Capitão Gervásio de Oliveira	PI	-8.48957	-41.82	1	0.00	0
CTMZ-02908	5.00	Paranã	TO	-12.61565	-47.88	0	0.00	1
CTMZ-02910	5.00	Paranã	TO	-12.61565	-47.88	0	0.00	1
CTMZ-03088	13.00	Campo Alegre	AL	-9.79877	-36.41	0.91	0.09	0
CTMZ-03091	13.00	Campo Alegre	AL	-9.79877	-36.41	0.9	0.10	0
CTMZ1212	14.00	Caracol	PI	-9.57283	-45.45	0.77	0.00	0.23
ESTR00057	6.00	Palmas	TO	-10.16983	-48.33	0	0.00	1
ESTR00217	9.00	Carolina	MA	-7.33117	-47.45	0	0.00	1
ESTR00393	11.00	Palmeiras do Tocantins	TO	-6.61397	-47.55	0	0.00	1
ESTR1597	8.00	Palmeirante	TO	-7.85786	-47.93	0	0.00	1
ESTR1922	8.00	Palmeirante	TO	-7.85786	-47.93	0	0.00	1
KZ2988	55.00	Contendas do Sincorá	BA	-13.94299	-41.04	0	1.00	0
KZ3169	40.00	Palmeiras	BA	-12.52991	-41.58	0	1.00	0
MRT2775	2.00	Baixa Grande do Ribeiro	PI	-8.85092	-45.15	0.21	0.00	0.79
MRT2802	2.00	Baixa Grande do Ribeiro	PI	-8.85092	-45.15	0.22	0.00	0.78
MRT2804	2.00	Baixa Grande do Ribeiro	PI	-8.85092	-45.15	0.19	0.00	0.81
MRT2963	2.00	Baixa Grande do Ribeiro	PI	-8.85092	-45.15	0.26	0.00	0.74
MRT3450	61.00	Santo Inácio	BA	-11.10878	-42.72	0	1.00	0
MRT3454	61.00	Santo Inácio	BA	-11.10878	-42.72	0	1.00	0
MRT3455	61.00	Santo Inácio	BA	-11.10878	-42.72	0	1.00	0
MRT4649	14.00	Caracol	PI	-9.57283	-45.45	0.74	0.00	0.26
MRT4969	14.00	Caracol	PI	-9.57283	-45.45	0.77	0.01	0.22
MRT7486	7.00	Guaraí	TO	-8.81814	-48.38	0	0.00	1
MTCT1001	18.00	Itaueira	PI	-7.70820	-42.79	1	0.00	0
MTCT1025	20.00	São Francisco do Piauí	PI	-7.10037	-42.87	1	0.00	0
MTCT1033	20.00	São Francisco do Piauí	PI	-7.10037	-42.87	0.93	0.00	0.07
MTCT1049	20.00	São Francisco do Piauí	PI	-7.10037	-42.87	1	0.00	0
MTCT1052	20.00	São Francisco do Piauí	PI	-7.10037	-42.87	1	0.00	0
MTCT1053	19.00	Wall Ferraz	PI	-7.23975	-41.93	1	0.00	0
MTCT1080	19.00	Wall Ferraz	PI	-7.23975	-41.93	1	0.00	0
MTCT1082	19.00	Wall Ferraz	PI	-7.23975	-41.93	1	0.00	0
MTCT1083	19.00	Wall Ferraz	PI	-7.23975	-41.93	1	0.00	0
MTCT1086	19.00	Wall Ferraz	PI	-7.23975	-41.93	1	0.00	0
MTCT1088	21.00	São Félix do Piauí	PI	-5.93879	-41.92	1	0.00	0
MTCT1089	21.00	São Félix do Piauí	PI	-5.93879	-41.92	1	0.00	0
MTCT1090	21.00	São Félix do Piauí	PI	-5.93879	-41.92	1	0.00	0
MTCT1091	21.00	São Félix do Piauí	PI	-5.93879	-41.92	1	0.00	0
MTCT1092	21.00	São Félix do Piauí	PI	-5.93879	-41.92	1	0.00	0
MTCT1135	22.00	Altos	PI	-5.04436	-42.59	1	0.00	0
MTCT1136	22.00	Altos	PI	-5.04436	-42.59	0.67	0.32	0.01
MTCT1137	22.00	Altos	PI	-5.04436	-42.59	1	0.00	0
MTCT1138	22.00	Altos	PI	-5.04436	-42.59	1	0.00	0
MTCT1139	22.00	Altos	PI	-5.04436	-42.59	1	0.00	0
MTCT1155	23.00	Piripiri	PI	-4.11233	-41.70	1	0.00	0
MTCT1166	23.00	Piripiri	PI	-4.11233	-41.70	1	0.00	0
MTCT1167	23.00	Piripiri	PI	-4.11233	-41.70	1	0.00	0
MTCT1168	23.00	Piripiri	PI	-4.11233	-41.70	1	0.00	0
