voucher	loc	UF	lat	lon	north_pop	south_pop
AF82	Ibiraba	BA	-10.79026	-42.82448	0.06	0.94
AF908	João Pessoa	PB	-7.12624	-34.89063	0.99	0.01
AF909	Mamanguape	PB	-6.75731	-34.94182	0.92	0.08
AF93	Ibiraba	BA	-10.79026	-42.82448	0.09	0.91
CFBHT11077	Livramento de Nossa Senhora	BA	-13.64999	-41.87673	0.03	0.97
CFBHT12427	Tibau do Sul	RN	-6.25738	-35.19542	1.00	0.00
CFBHT12847	Jequié	BA	-13.94292	-40.10878	0.00	1.00
CFBHT13578	Jequié	BA	-13.94292	-40.10878	0.00	1.00
CFBHT13579	Jequié	BA	-13.94292	-40.10878	0.03	0.97
CFBHT15697	Linhares	ES	-19.15238	-40.09026	0.27	0.73
CFBHT15704	Linhares	ES	-19.15238	-40.09026	0.27	0.73
CFBHT16079	Uruçuca	BA	-14.51544	-39.29988	0.00	1.00
CFBHT3549	Conceição da Barra	ES	-18.59336	-39.77931	0.29	0.71
CFBHT3551	Conceição da Barra	ES	-18.59336	-39.77931	0.23	0.77
CFBHT4260	Brejo do Piauí	PI	-8.19932	-42.83231	0.51	0.49
CFBHT5348	Viçosa do Ceará	CE	-3.56616	-41.09182	1.00	0.00
CFBHT5349	Viçosa do Ceará	CE	-3.56616	-41.09182	1.00	0.00
CFBHT5350	Viçosa do Ceará	CE	-3.56616	-41.09182	1.00	0.00
CFBHT5916	Linhares	ES	-19.15238	-40.09026	0.28	0.72
CFBHT8381	Itamaracá	PE	-7.75447	-34.83774	0.91	0.09
CFBHT9151	Caetité	BA	-14.06788	-42.50396	0.00	1.00
CFBHT9175	Caetité	BA	-14.06788	-42.50396	0.00	1.00
CFBHT9232	Aurelino Leal	BA	-14.36079	-39.40855	0.01	0.99
CFBHT9374	Maracás	BA	-13.44264	-40.42712	0.32	0.68
CFBHT9436	Sanharó	PE	-8.36239	-36.55533	0.90	0.10
CTMZ-01178	Caracol	PI	-9.57283	-45.44538	0.26	0.74
KZ3018	Contendas do Sincorá	BA	-13.94299	-41.04483	0.00	1.00
KZ3019	Contendas do Sincorá	BA	-13.94299	-41.04483	0.04	0.96
KZ3124	Palmeiras	BA	-12.52991	-41.57509	0.10	0.90
KZ3161	Palmeiras	BA	-12.52991	-41.57509	0.11	0.89
MD1971	Una	BA	-15.52633	-39.15962	0.00	1.00
MD2375	Una	BA	-15.52633	-39.15962	0.00	1.00
MNRJ40191	Pinheiros	ES	-18.41758	-40.21614	0.27	0.73
MNRJ40319	Canavieiras	BA	-15.67925	-38.95093	0.00	1.00
MNRJ42071	Brejo do piauí	PI	-8.19932	-42.83231	0.52	0.48
MRT115	Pacoti	CE	-4.22466	-38.92521	0.76	0.24
MRT116	Pacoti	CE	-4.22466	-38.92521	0.99	0.01
MRT3445	Santo Inácio	BA	-11.10878	-42.72368	0.11	0.89
MRT4970	Caracol	PI	-9.57283	-45.44538	0.30	0.70
MTCT1202	Nova Russas	CE	-4.60210	-40.55253	1.00	0.00
MTCT1245	Quixeramobim	CE	-5.34489	-39.23693	1.00	0.00
MTCT1260	Jaguaribe	CE	-5.60399	-38.50420	1.00	0.00
MTCT1287	Caicó	RN	-6.57865	-37.25574	1.00	0.00
MTCT1288	Caicó	RN	-6.57865	-37.25574	0.97	0.03
MTCT1329	Paulo Afonso	BA	-9.65111	-38.44003	0.82	0.18
MTCT1357	Pai Pedro	MG	-15.53041	-43.12791	0.04	0.96
MTCT1468	Cafarnaum	BA	-11.69193	-41.46917	0.29	0.71
MTCT1518	Itaitu	BA	-11.32162	-40.47263	0.50	0.50
MTCT1521	Itaitu	BA	-11.32162	-40.47263	0.48	0.52
MTCT1744	Araripina	PE	-7.91718	-40.50755	0.76	0.24
MTCT1839	Serra Talhada	PE	-8.01668	-38.56824	1.00	0.00
MTCT743	Cândido Sales	BA	-15.48197	-41.32589	0.00	1.00
MTCT773	Anagê	BA	-14.50995	-41.06709	0.00	1.00
MTCT843	Baixa Grande	BA	-11.82200	-40.30167	0.30	0.70
MTCT931	São Raimundo Nonato	PI	-8.73309	-42.49546	0.46	0.54
MTJ0393	Januaria	MG	-14.96691	-44.13437	0.04	0.96
MTR11298	Buritirama	BA	-10.86016	-43.63394	0.12	0.88
MTR16053	Camacan	BA	-15.37732	-39.56889	0.00	1.00
MTR16054	Camacan	BA	-15.37732	-39.56889	0.00	1.00
MTR16178	Canavieiras	BA	-15.67925	-38.95093	0.00	1.00
MTR16385	Arataca	BA	-15.25532	-39.40981	0.00	1.00
MTR16499	Cordeiros	BA	-15.15242	-41.97852	0.00	1.00
MTR16501	Condeuba	BA	-14.93372	-41.94959	0.00	1.00
MTR16502	Condeuba	BA	-14.93372	-41.94959	0.03	0.97
MTR16513	São João do Paraíso	MG	-15.18667	-41.96087	0.04	0.96
MTR16514	São João do Paraíso	MG	-15.18667	-41.96087	0.00	1.00
MTR16515	Condeuba	BA	-14.93372	-41.94959	0.00	1.00
MTR17446	Salto da Divisa	MG	-16.01237	-39.94588	0.00	1.00
MTR17447	Salto da Divisa	MG	-16.01237	-39.94588	0.00	1.00
MTR17516	Marliéria	MG	-19.74589	-42.61064	0.25	0.75
MTR17558	Marliéria	MG	-19.74589	-42.61064	0.21	0.79
MTR17662	Marliéria	MG	-19.74589	-42.61064	0.27	0.73
MTR19766	Andaraí	BA	-12.80042	-41.30267	0.31	0.69
MTR19767	Andaraí	BA	-12.80042	-41.30267	0.36	0.64
MTR21946	Wenceslau Guimarães	BA	-13.68223	-39.48730	0.14	0.86
MTR22936	Contendas do Sincorá	BA	-13.94299	-41.04483	0.00	1.00
PEU492	Ilhéus	BA	-14.76925	-39.12410	0.01	0.99
RPD337	Una	BA	-15.52633	-39.15962	0.00	1.00
UFBAT190	Pilão Arcado	BA	-10.00094	-42.48082	0.25	0.75
UFBAT319	Paulo Afonso	BA	-9.65111	-38.44003	0.85	0.15
